delay (ms),servers,commands (in parallel),time (sec)
10,5,20,0.421519041061
10,5,50,0.5143699646
10,5,100,0.906075000763
10,10,20,0.33987402916
10,10,50,0.560070991516
10,10,100,1.00874400139
10,15,20,0.331617116928
10,15,50,0.645169973373
10,15,100,0.891592025757
10,20,20,0.343914985657
10,20,50,0.528925895691
10,20,100,0.938293933868
20,5,20,0.628890037537
20,5,50,0.97665810585
20,5,100,1.94842910767
20,10,20,0.799772977829
20,10,50,1.1075360775
20,10,100,2.09993004799
20,15,20,0.774938821793
20,15,50,1.08174705505
20,15,100,2.02841496468
20,20,20,0.739715099335
20,20,50,1.18137097359
20,20,100,1.94527888298
50,5,20,1.47135710716
50,5,50,2.42935109138
50,5,100,4.12512683868
50,10,20,1.75871109962
50,10,50,2.67788481712
50,10,100,4.02097296715
50,15,20,1.89197206497
50,15,50,2.58833098412
50,15,100,4.46852707863
50,20,20,2.05857396126
50,20,50,2.97536206245
50,20,100,4.39340591431
100,5,20,6.21456503868
100,5,50,13.4026858807
100,5,100,12.6066269875
100,10,20,24.0571949482
100,10,50,31.2471311092
100,10,100,41.4952011108
100,15,20,24.5451390743
100,15,50,49.1027748585
100,15,100,53.1221330166
100,20,20,56.7284080982
100,20,50,37.5329260826
100,20,100,40.2549259663